contract,args,call_1,call_2,callable_more_than_once
0c9e090b9232777fc2c023aa85a5ddd00700204c9b393134efb1870956cbf80d.wasm,"address, address",ok,"Error(Contract, #2)",no
0cbc0aa6a92452375eff21a6183b46488f6ee11405999430e68a5a23d9b6c8c2.wasm,"address, address, address, address, 946122","Error(Contract, #2)","Error(Contract, #2)",unknown
0d13bf394ddeeeb0b2059bccbf34e74be1aaf74a7af3ed7dcc5c01718850a398.wasm,address,ok,"Error(Contract, #3)",no
0d5acf25ef0b020099b18160b6487477237b74fd5f4029179016eb8205b17ccf.wasm,"address, address",ok,"Error(WasmVm, InvalidAction)",no
0d78a64d9aaccce2623b8afec4670ea2dab349f0e5c90380a95bdeb6eb5f3315.wasm,address,ok,ok,yes
0d86a5873854a72266975c0b2446c79b3e33303d0c3b8376817b3322ca928c54.wasm,address,ok,"Error(WasmVm, InvalidAction)",no
0d8880855acd9890f8d80af299c814fca483ce56292fa0d9110a1c998c81857d.wasm,"address, address, address, 48249",ok,"Error(WasmVm, InvalidAction)",no
0d90072b8c0c7f8863422422f56270e63445f6ed0105e1d234030740e1c3af3a.wasm,"address, address, address, address, 431047",ok,"Error(WasmVm, InvalidAction)",no
0e5497cedd3e04b042e9e8da00a930717f3fae1a5f3605f4730506229381c838.wasm,"address, 184067, [address address address], 754392, 703854","Error(Contract, #13)","Error(Contract, #13)",unknown
0e558e06e5843302d94d42b1ab5063b8b61116999310ab5c62e8a581ef701903.wasm,"address, bytes[32], bytes[32], address",ok,"Error(Contract, #500)",no
0e7cd0af197cd313a1676df9336704dd88d1c5bd9f57c3fe4b6e4224538a819b.wasm,"address, address, address, address, 580167","Error(Contract, #2)","Error(Contract, #2)",unknown
0e8cb9ef352a24a03790ff9e37e5683a5152a04a8acad79daeea1368726cf93c.wasm,"address, address, address, address, address, bytes[32], address",ok,"Error(WasmVm, InvalidAction)",no
0f07a598439581a0fc5990d4d1cbc4e2b7447109c505295ad9f7268790028cbf.wasm,"address, address, address, address, 69424","Error(Contract, #14)","Error(Contract, #14)",unknown
0f3da7da98491c9de211d676d8b84c7d3a1486baa28a75fb02ff172fed12e714.wasm,address,ok,"Error(Contract, #1)",no
0f68389835616ab3b47ffb15117550b02ac124520fb566e4ca0be1cf7ed8df9a.wasm,"address, address, 157675, 572300, address, address, 254818",ok,"Error(Contract, #1)",no
0f7684ef49d12cd27e730eed1e3bf4b9911524da20e9a591fdfb6f549c7cf394.wasm,address,ok,"Error(WasmVm, InvalidAction)",no
0fbd3322591d2d477480eb2ced2a855873e2faed911e3e5dfd7cbb1488154e46.wasm,address,ok,"Error(Contract, #1)",no
0fec361a7e94f2e945b2675ef1b2c81f481d8beacb488ba02dbe1c505d08e387.wasm,address,ok,"Error(Contract, #2)",no
0fffb0345c627c41c5eeabbf4ad7f21ea015f9235e3711e111317a1a848fff26.wasm,"address, address, address, 15000, address, address",ok,"Error(Contract, #5)",no
1027f1587b8c70b1024128e323ef6acd2161c431fab0dc32bb64133a292759e0.wasm,"address, [address address address address [address] address], address, bytes[32], [address], 668579, [955595 312802]","Error(Contract, #2003)","Error(Contract, #2003)",unknown
104f6b8def5988ca1a3c03a41876c5e690fd36bd90c5456e8c7df8fbf52601eb.wasm,"address, 345235, hh, y","Error(Contract, #605)","Error(Contract, #605)",unknown
1071c5a61545b4b025837d30fc7558183ed74365547f94c361d9354ad5e05cb9.wasm,"address, bytes[32], [address], 197670","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
1079bee7206a3e29f8cfa1d5603c528f699640c88c155438d066f2dfcdba60d9.wasm,"address, address, 477029",ok,"Error(Contract, #902)",no
10aabf89028e07102d6360c6d180e8809f62910ed62d5a9789287c8db7d66628.wasm,"address, address",ok,"Error(Contract, #1)",no
10e85a81916c36ca577f8c0612eaf0bf19778725a7d38125b8991aaee765e736.wasm,"address, address, address",ok,"Error(WasmVm, InvalidAction)",no
10f2c1f3624bf391e75722453b3857088b70465559624acba8ad47b37b85ee4e.wasm,bytes[32],ok,"Error(Contract, #5)",no
119a8c2eab5f732c18d7521426e1038151fa837506c63ddca17c6851e2fbf946.wasm,[54031],"Error(Contract, #26)","Error(Contract, #26)",unknown
11b335d47780effb07c2179fbc3159c8e603e218559f776422adabe2fa3d7cfa.wasm,"address, address, 425673, 636127, 104704, address, address, 731881, 747204, address",ok,"Error(WasmVm, InvalidAction)",no
11ba5c44157dfbdcfe1f67a54b3054952a67e5d36e5ed7876d26eece39d82c3f.wasm,"address, 257666, g, ","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
11c4d94c3c13ab5b0c66c2252465b26aa608d736ee77f759996aa03ef83147d2.wasm,"[address], [void void void], [RiskAdjusted]","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
1230a70e9f000bedd1044e7fc330912352ab01640f3a67cdc9b186d720549ef7.wasm,"address, address",ok,"Error(Contract, #2)",no
124ca4b0b4271bcefcc5875d7dad5f037cac7a2efae92af0ecd88bc70dab5001.wasm,,ok,"Error(Contract, #1)",no
12a264f28b33abd4c19fa2507194b1893813cc505aa8328f3495169eb952d092.wasm,"address, address, 494076",ok,"Error(Contract, #902)",no
12ee703a6126d427cf68ccd3173b173219d77339fcc096f6839615a87cf6d15f.wasm,address,ok,ok,yes
12fca5a7a96577273b6d4184cf9c984036cda0e8f0594747e7b2933dced37ee6.wasm,"address, [address address address address [address address address] address], address, [], 711439, 638785, 297657","Error(Contract, #2001)","Error(Contract, #2001)",unknown
13190bc5b412d415d0f1243be1c8cae6a4a324dc6acda80d0c16171a5a592823.wasm,address,ok,"Error(WasmVm, InvalidAction)",no
13346ebdb5ef364f9d4f8514f7b437565c20b9f2f768b18bc122fb6692ece7c6.wasm,"address, []",ok,"Error(Contract, #502)",no
133907e8a1ce576ae2ef64eb13af35deca8a5262995a037bbe65097cd99f5827.wasm,"address, bytes[32], address, address",ok,"Error(WasmVm, InvalidAction)",no
1345fedc0296f30d5d629f1a5023721a9ba92da86ebaae323d293bb1003f265a.wasm,address,ok,"Error(WasmVm, InvalidAction)",no
137ed782d779a45ca824b47565e61608fcaa4fb8c66ec21f605b72f656280bc3.wasm,"5, p, 825849",ok,ok,yes
13c5614b3a924bb0956d39c28884f5eb6a88dcbb8a34f35831e4a61b2c341fae.wasm,"address, address, 112167, 638170, address, address, 895362",ok,"Error(Contract, #1)",no
13e39f947dbc5e59d9747748c2e964a81e654c0c4c471cb683c233080c141ad1.wasm,"address, address, address, address, 640297","Error(Object, InvalidInput)","Error(Object, InvalidInput)",unknown
144ef7103d39fb69e93f37300715044c51dbb3ac1e3a2df261a0e5373cd0bea8.wasm,"U256(UInt256Parts { hi_hi: 0, hi_lo: 0, lo_hi: 0, lo_lo: 69812 })","Error(Contract, #21)","Error(Contract, #21)",unknown
14600090dfff24f0821f0276e92f389e7367fb6e24dae0c7dd22c2bf21eabeb0.wasm,address,ok,ok,yes
14a957abbc36c85f7ee73ba8a2a04ed02d2c5cb5e468460ea3bded51ac4716a7.wasm,address,ok,"Error(Contract, #1014)",no
14a9f98d9cd8acb8612581dc571700fc6156c1ba04ba89d2ecdb1f9056feff06.wasm,address,ok,ok,yes
14e6c8d4e009d43cbabb2db6961e620928aa45cf1667732005686492e636fdb5.wasm,"address, address, address, address, address, address",ok,"Error(Contract, #9)",no
14ed2bb1a025c22bcc730ffc9da3f5aa9f7c653f4be402812c32f249e20dee01.wasm,"bytes[32], bytes[32], {admin: address default_slippage_bps: 190580 fee_recipient: address max_allowed_slippage_bps: 882580 max_allowed_spread_bps: 698317 max_referral_bps: 919451 stake_init_info: {manager: address max_complexity: 797522 min_bond: 550436 min_reward: 530375} swap_fee_bps: 462771 token_init_info: {token_a: address token_b: address}}, address, 851108, r1, z, 289475, 732045","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
15218e552cd31a02fff6c844c5fb6892b9affda2d0330e67cdb5de3205c85a8f.wasm,"address, address",ok,"Error(Contract, #1)",no
15299dec7f7c48bae0b3e02fb3c149d8dd2a9d03fa50ab255cbd640633ab29a8.wasm,address,ok,"Error(WasmVm, InvalidAction)",no
153ac7ef984651acf6d11b7caf01051370c44a99b37cf686d878564b8b9dbb24.wasm,address,ok,"Error(Contract, #1)",no
153fe7ff1bea439a818992133687edde22382d000aa02293f6e941768a8deb43.wasm,"address, address, address, address, 536693","Error(Contract, #2)","Error(Contract, #2)",unknown
1548732c24baeb358f236a564deaecafff5d613f6473636fe4a73b4d179bed68.wasm,"address, address, address, address",ok,"Error(WasmVm, InvalidAction)",no
154d0fd4e06e1b86ec5fca2beddf767772b1aef89caac74466ec8842d835a00d.wasm,"address, address, address, address, address, address",ok,"Error(WasmVm, InvalidAction)",no
156d597fe56f530ba67863663e3cc3680deccfce9820b0664b6cd629a2b47674.wasm,address,ok,"Error(Contract, #11)",no
163127be0ae731dbc045d2bd704c3d4949606df23fbe749e16d08414cedd5979.wasm,"address, address, address, address, address, address",ok,"Error(WasmVm, InvalidAction)",no
16cc7e0e678e95c981b99c35a93bb48f3dbde46c55e879257412ac6fb2ba3ae0.wasm,"address, 801579, b, o9a, address, address, 278005","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
1707eb38f896ab6f305e6118a755058109e1877bd6b933243c6ebc65d289f64b.wasm,"address, [address address address address [] address], address, bytes[32], [], [954759 806153]","Error(Contract, #2001)","Error(Contract, #2001)",unknown
1711b7c790a978c7382584e121cee7883a557a11cd91177fdbeee4320a96f9c0.wasm,"address, address",ok,"Error(Contract, #2)",no
1711bcd20feeddd4dab6660cb2408c90085c5b42227bd10fc059140524899b09.wasm,"address, address",ok,"Error(Contract, #1)",no
174972e6850180682c46185f58504955763ffc74f188ec7544a60b9a21747a7a.wasm,"address, address, [address address address], address, [], [ ]","Error(Contract, #5)","Error(Contract, #5)",unknown
